Emotion,Count,Interrater Correlation,Cohen's kappa,Accuracy,,,,
admiration,15087,0.535148866,0.467648463,0.897786453,,,,
amusement,7866,0.481797445,0.474378174,0.941313908,,,,
anger,6619,0.206922598,0.306590095,0.851713111,,,,
annoyance,11508,0.192524531,0.191654644,0.771059583,,,,
approval,13524,0.385140433,0.186505965,0.75824444,,,,
caring,5009,0.236571984,0.25204706,0.864062503,,,,
confusion,5823,0.216735607,0.27028518,0.832899302,,,,
curiosity,7631,0.417598839,0.365704708,0.908615445,,,,
desire,3175,0.176579371,0.251430723,0.869588758,,,,
disappointment,7242,0.185760279,0.183903833,0.733282174,,,,
disapproval,8936,0.274492935,0.234266463,0.764877503,,,,
disgust,4574,0.192352516,0.24070186,0.849656364,,,,
embarrassment,2209,0.176946473,0.21810291,0.791666662,,,,
excitement,4892,0.193163837,0.22222626,0.831597234,,,,
fear,2770,0.265869632,0.393794811,0.850462968,,,,
gratitude,11070,0.645012394,0.748806318,0.964299078,,,,
grief,590,0.161757159,0.095008131,0.817307691,,,,
joy,7167,0.296050149,0.301323398,0.867143104,,,,
love,7396,0.445512484,0.555295163,0.955303878,,,,
nervousness,1561,0.164277911,0.143828359,0.716269836,,,,
optimism,7295,0.321861201,0.30002821,0.848554457,,,,
pride,1136,0.163336531,0.147704832,0.824999993,,,,
realization,6762,0.194055951,0.154634963,0.680446208,,,,
relief,1135,0.171691735,0.184703461,0.685185179,,,,
remorse,2350,0.178142612,0.357853097,0.891544128,,,,
sadness,5849,0.345528121,0.335623021,0.827756077,,,,
surprise,4662,0.274621225,0.330746802,0.862304688,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
