session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,First Language,Language related disorders,Nationality,Sex,Student Status
61e2d815e12cd50b2027cc0e,5f485e24b5efe81f67b89f81,APPROVED,20:06.0,25:57.6,351.615,29,271,1,100,14:06.7,8DF1CE3F,none just my native langauge,Australia,Australia,Full-Time,English,none,Australia,Female,No
61e2db2b23d116a9a257146d,5be677307514d00001084e85,APPROVED,33:32.4,00:55.8,1643.35,23,709,1,100,14:11.5,8DF1CE3F,native language + one other language,Australia,Australia,Part-Time,English,none,Australia,Female,Yes
61e2dd49d1e2d12a402210f5,615172c4fbb4722c8f004de7,APPROVED,42:17.3,46:58.6,281.371,19,97,1,100,14:20.7,8DF1CE3F,native language + two other languages,Australia,Australia,DATA EXPIRED,English,none,Australia,Female,Yes
61e2de9ad3438bff6b531f0c,58c4f54f93499d0001346edd,APPROVED,48:00.8,53:49.1,348.228,32,795,9,99,14:25.4,8DF1CE3F,none just my native langauge,Australia,Australia,Unemployed (and job seeking),English,none,Australia,Male,Yes
61e40f3af73beb4a14be910b,5daaa5941f35d50016a2a5e2,APPROVED,27:38.4,33:00.2,321.799,29,87,1,98,35:19.2,8DF1CE3F,none just my native langauge,Australia,Australia,Other,English,none,Australia,Female,Yes
61e4110e0a9629e49ede1696,5edf8803c008532459792282,APPROVED,35:26.1,49:29.1,842.961,37,444,0,100,35:20.1,8DF1CE3F,none just my native langauge,Sweden,Australia,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,none,Australia,Male,No
61e41116f4389a53d0e41a35,5e3589f0f4429c52b06eb457,APPROVED,35:44.5,06:29.7,1845.185,47,264,5,99,35:20.2,8DF1CE3F,none just my native langauge,United Kingdom,Australia,DATA EXPIRED,English,none,Australia,Male,DATA EXPIRED
61e2da64cfbdee7d2b29294e,5db6e588867c22000dfffa54,APPROVED,30:00.7,35:24.8,324.129,20,201,1,99,14:09.6,8DF1CE3F,none just my native langauge,Canada,Canada,DATA EXPIRED,English,none,Canada,Female,DATA EXPIRED
61e2db595d1db7cd4c7e7753,5e377e7147f5527223aee301,APPROVED,34:01.4,43:02.1,540.737,30,291,0,100,14:12.3,8DF1CE3F,native language + one other language,Canada,Canada,DATA EXPIRED,English,none,Canada,Male,DATA EXPIRED
61e2db5fea0575c6b999b446,5bf769ac2dd20c00013188d1,APPROVED,34:07.6,48:09.9,842.294,29,134,0,100,14:12.5,8DF1CE3F,none just my native langauge,Canada,Canada,Full-Time,English,none,Canada,Male,No
