Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
3,15.2396,space,19.3018,0,0,0,1,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
7,9.6869,space,10.4321,0,1,1,242,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
4,8.81,space,8.559,0,2,2,343,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
1,9.0844,space,9.5628,0,3,3,50,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
3,11.0878,space,10.9541,0,4,4,121,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,9.356,space,8.7927,0,5,5,340,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
7,4.7282,space,3.9241,0,6,6,84,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,10.6281,space,10.0493,0,7,7,376,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,10.8892,space,10.332,0,8,8,193,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
4,4.6334,space,3.8714,0,9,9,8,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
7,5.9666,space,5.2658,0,10,10,173,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
7,6.9746,space,6.2127,0,11,11,208,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,6.2608,space,6.1298,0,12,12,66,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,7.2812,space,6.691,0,13,13,112,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
3,9.4155,space,8.8164,0,14,14,129,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
2,6.5671,space,6.9262,0,15,15,27,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
7,7.3133,space,7.5505,0,16,16,222,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
2,3.4135,space,3.354,0,17,17,34,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
3,7.1754,space,6.4678,0,18,18,245,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
2,9.5991,space,8.9308,0,19,19,295,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
6,8.8668,space,7.914,0,20,20,240,1,,,58d0632c2fc72000011f8c57,61ba1b56b3a80c4052940d1a,2021-12-15_16h43.08.809,PRaM,2021.2.3,Win32,59.93048064,61b8f3437b89212fae0dfade
