Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,26.4442,space,34.4459,0,0,0,214,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
2,9.2704,space,8.584,0,1,1,77,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
4,7.962,space,6.3642,0,2,2,306,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
2,5.1121,space,3.4489,0,3,3,68,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
3,3.1477,space,1.5176,0,4,4,332,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
4,4.0382,space,2.3697,0,5,5,146,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
3,3.0606,space,3.2843,0,6,6,374,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
5,15.2401,space,16.9031,0,7,7,117,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
6,3.8914,space,2.1373,0,8,8,112,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
5,11.1654,space,9.4837,0,9,9,33,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
3,6.8269,space,5.1651,0,10,10,135,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
3,11.9113,space,11.9972,0,11,11,258,1,,,58f3d7699fbdde00011e99f7,643772d753e3c065d65f8d7d,2023-04-13_04h21.49.820,PRaM,2021.2.3,Win32,60.0132029,61b8f3437b89212fae0dfade
