Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,5.241,space,8.772,0,0,0,9,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,7.358,space,7.209,0,1,1,194,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
4,7.519,space,7.393,0,2,2,83,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,4.851,space,3.972,0,3,3,26,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
6,3.883,space,4.008,0,4,4,16,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
4,4.732,space,3.875,0,5,5,375,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
7,4.195,space,5.208,0,6,6,199,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
5,7.668,space,6.726,0,7,7,297,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
7,3.782,space,2.873,0,8,8,213,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,7.125,space,5.824,0,9,9,292,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
2,9.424,space,7.944,0,10,10,224,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
8,3.23,space,2.955,0,11,11,38,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
6,3.213,space,2.155,0,12,12,270,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
6,5.465,space,4.188,0,13,13,260,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,2.713,space,2.573,0,14,14,107,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
4,7.184,space,7.03,0,15,15,64,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
2,6.716,space,5.523,0,16,16,157,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
9,6.736,space,5.727,0,17,17,53,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
6,3.581,space,2.488,0,18,18,154,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
9,4.032,space,3.326,0,19,19,320,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,7.739,space,6.493,0,20,20,220,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
8,2.697,space,8.094,0,21,21,118,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
3,6.367,space,5.241,0,22,22,69,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
1,4.701,space,3.439,0,23,23,229,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
8,4.683,space,3.456,0,24,24,291,1,,,5c5cad3e4ee81200018eafe2,64391625bd68fab662220628,04-14-2023_10h01.16.545,PRaM,2021.2.3,Win32,59.95203837,61b8f3437b89212fae0dfadf
