Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
6,4.6813,space,10.7218,0,0,0,335,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,3.261,space,2.2009,0,1,1,111,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,36.1431,space,34.8999,0,2,2,214,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,2.2907,space,1.0835,0,3,3,109,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,2.1653,space,0.5212,0,4,4,151,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,2.9561,space,1.7084,0,5,5,358,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,3.6385,space,1.9999,0,6,6,156,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,3.2633,space,2.4844,0,7,7,221,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,2.6702,space,1.4241,0,8,8,360,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
1,2.7126,space,1.2709,0,9,9,9,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,2.4704,space,0.8338,0,10,10,171,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,2.8775,space,1.1845,0,11,11,22,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,2.3482,space,0.9104,0,12,12,0,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
7,3.5836,space,2.2532,0,13,13,363,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,1.8987,space,0.3745,0,14,14,218,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
1,3.7289,space,2.183,0,15,15,227,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
8,2.5665,space,2.2331,0,16,16,64,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,4.0631,space,2.5545,0,17,17,198,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
7,2.6741,space,1.1232,0,18,18,305,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
6,2.8116,space,1.2667,0,19,19,331,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,3.0794,space,1.6249,0,20,20,136,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,2.4038,space,0.7348,0,21,21,267,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,7.8945,space,6.6116,0,22,22,237,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,2.4084,space,1.0734,0,23,23,256,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,6.7964,space,5.099,0,24,24,238,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
1,2.2037,space,1.4151,0,25,25,65,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
6,3.6919,space,2.2786,0,26,26,117,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,16.0674,space,15.8947,0,27,27,334,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,2.5715,space,1.2431,0,28,28,354,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
3,2.2203,space,0.383,0,29,29,126,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,2.895,space,1.2413,0,30,30,365,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
7,2.4538,space,1.1712,0,31,31,351,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
8,4.7784,space,3.2416,0,32,32,278,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,3.1978,space,1.4253,0,33,33,240,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,3.9475,space,2.2601,0,34,34,76,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,5.761,space,3.9535,0,35,35,194,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,1.754,space,0.1171,0,36,36,195,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,3.3407,space,1.7224,0,37,37,150,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
4,3.0266,space,1.3771,0,38,38,294,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
2,2.095,space,2.1495,0,39,39,67,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
5,1.9539,space,0.3635,0,40,40,142,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
6,2.6106,space,1.2668,0,41,41,211,1,,,5e54c7fc2394ea4c99f88987,643916249d1bcd1034d84644,2023-04-14_10h01.58.052,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfadf
