Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,18.5414,space,20.4764,0,0,0,278,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
7,4.8873,space,3.4353,0,1,1,120,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
6,2.6839,space,1.5702,0,2,2,351,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
7,3.7192,space,2.1515,0,3,3,220,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
5,4.0416,space,2.9285,0,4,4,265,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
6,3.0418,space,1.5363,0,5,5,0,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
,,space,0.2867,0,6,6,156,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
6,2.9978,space,1.803,0,7,7,286,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
3,6.6434,space,5.1851,0,8,8,54,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
3,4.1392,space,2.5833,0,9,9,95,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
2,4.7195,space,3.0936,0,10,10,231,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
7,4.1815,space,2.5801,0,11,11,166,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
5,4.4491,space,2.8205,0,12,12,77,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
2,4.2763,space,2.6264,0,13,13,260,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
2,3.1844,space,1.8751,0,14,14,75,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
5,3.1753,space,1.619,0,15,15,151,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
5,3.4564,space,2.3874,0,16,16,61,1,,,5e9fd839311b8018f88c99eb,643773017e62dbf187605310,2023-04-13_05h15.10.080,PRaM,2021.2.3,Win32,58.93099181,61b8f3437b89212fae0dfadf
