Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,13.7117,space,14.6708,0,0,0,361,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
6,9.0742,space,7.9053,0,1,1,239,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
1,5.1485,space,4.3343,0,2,2,368,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
4,4.2769,space,2.7865,0,3,3,216,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
5,8.5042,space,6.9206,0,4,4,259,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
1,3.8484,space,2.4167,0,5,5,9,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
1,6.0601,space,4.3232,0,6,6,203,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
6,4.6634,space,4.0492,0,7,7,174,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
3,48.2879,space,46.8882,0,8,8,29,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
4,6.8626,space,5.4379,0,9,9,191,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
6,3.6387,space,2.5178,0,10,10,154,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
2,3.5094,space,1.8759,0,11,11,309,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
7,5.1092,space,3.4867,0,12,12,118,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
7,2.8541,space,1.2952,0,13,13,38,1,,,5eab2dbd0c7a950efa32c3dc,64391619fac2e454df50b468,2023-04-14_10h10.41.585,PRaM,2021.2.3,Win32,59.92329818,61b8f3437b89212fae0dfadf
