Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
6,7.5275,space,11.1679,0,0,0,4,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
9,6.1481,space,4.9691,0,1,1,372,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
4,4.8238,space,3.6645,0,2,2,239,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
8,2.6803,space,1.4014,0,3,3,197,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,4.8092,space,3.6872,0,4,4,8,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
4,4.4884,space,3.2673,0,5,5,134,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,3.8345,space,2.2006,0,6,6,250,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
9,4.6489,space,3.1994,0,7,7,207,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,4.2816,space,3.0336,0,8,8,67,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,8.2993,space,6.7536,0,9,9,332,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,2.8544,space,1.2699,0,10,10,162,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,3.4125,space,3.8075,0,11,11,195,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
4,7.0054,space,8.0879,0,12,12,221,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,7.3116,space,5.7834,0,13,13,201,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,5.6896,space,5.1879,0,14,14,105,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,2.6005,space,0.9897,0,15,15,117,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
4,27.6323,space,30.2594,0,16,16,267,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
3,16.0923,space,14.5318,0,17,17,249,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
2,6.3384,space,4.7354,0,18,18,266,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,2.9126,space,1.3384,0,19,19,206,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
3,5.4131,space,7.2174,0,20,20,365,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,3.8029,space,2.5365,0,21,21,140,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
3,7.4858,space,5.9422,0,22,22,178,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
2,6.3474,space,5.0176,0,23,23,174,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,6.4824,space,5.2525,0,24,24,355,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,5.1367,space,3.6939,0,25,25,256,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
9,6.9489,space,5.4346,0,26,26,53,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,3.5145,space,1.9037,0,27,27,9,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,2.3878,space,0.7513,0,28,28,28,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,10.6073,space,8.9046,0,29,29,309,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
5,7.1079,space,5.7657,0,30,30,339,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,4.1867,space,2.8188,0,31,31,90,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
7,4.0335,space,2.4581,0,32,32,180,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
4,10.4842,space,8.9323,0,33,33,200,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,5.1385,space,4.3631,0,34,34,73,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
8,3.895,space,2.5259,0,35,35,137,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,3.344,space,1.8015,0,36,36,176,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,4.0012,space,2.3513,0,37,37,72,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
7,2.8815,space,1.4006,0,38,38,114,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,5.7687,space,4.3195,0,39,39,241,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,5.3634,space,3.851,0,40,40,22,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
7,5.8163,space,4.8334,0,41,41,278,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,4.4014,space,3.0175,0,42,42,34,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
6,3.2834,space,3.2668,0,43,43,302,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
1,3.7008,space,2.2364,0,44,44,41,1,,,5ecda7f6509c241275db7396,6437731be3ac9e36ca3c3ce3,2023-04-12_22h15.35.992,PRaM,2021.2.3,Win32,59.79788315,61b8f3437b89212fae0dfadf
