Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
,,space,26.3629,0,0,0,306,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
,,space,18.0794,0,1,1,128,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
8,17.1547,space,17.3428,0,2,2,323,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
6,3.0647,space,3.0902,0,3,3,199,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
2,7.5483,space,7.1407,0,4,4,148,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
4,7.090099999,space,5.606,0,5,5,281,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
7,3.5123,space,2.2253,0,6,6,62,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
5,4.3112,space,2.7995,0,7,7,194,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
2,26.376,space,25.8381,0,8,8,195,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
1,5.0747,space,3.7256,0,9,9,77,1,,,5f516a44067fba1b4c562a55,64377665f683687ad21116e0,2023-04-12_21h32.07.304,PRaM,2021.2.3,Win32,59.78358343,61b8f3437b89212fae0dfade
