Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
,,space,86.5725,0,0,0,161,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
,,space,0.5037,0,1,1,325,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
,,space,0.3026,0,2,2,282,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
,,space,0.37,0,3,3,1,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
3,7.171,space,36.1675,0,4,4,267,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.4583,space,2.7166,0,5,5,177,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.9003,space,3.0834,0,6,6,242,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
5,2.9495,space,1.2501,0,7,7,144,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
4,9.7177,space,7.8364,0,8,8,93,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
3,4.903,space,3.2666,0,9,9,213,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,44.4878,space,42.6207,0,10,10,207,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,3.3337,space,1.3548,0,11,11,84,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.2788,space,2.6876,0,12,12,187,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.5796,space,0.7678,0,13,13,194,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.7511,space,0.1828,0,14,14,216,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7619,space,0.1042,0,15,15,12,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,6.0235,space,4.2021,0,16,16,235,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.316,space,1.1591,0,17,17,298,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,5.5913,space,3.9513,0,18,18,157,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,34.6736,space,33.0033,0,19,19,95,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8999,space,0.0826,0,20,20,316,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9967,space,0.1848,0,21,21,88,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
5,4.8669,space,3.0836,0,22,22,319,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,3.1382,space,1.5359,0,23,23,179,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,2.0316,space,0.199,0,24,24,50,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.6895,space,3.0846,0,25,25,155,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.4033,space,0.5127,0,26,26,79,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
6,3.9862,space,2.4176,0,27,27,331,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,29.5507,space,27.703,0,28,28,360,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.5493,space,0.1699,0,29,29,42,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.6132,space,0.4166,0,30,30,266,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.6707,space,0.0653,0,31,31,349,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.0191,space,0.2508,0,32,32,315,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8821,space,0.0441,0,33,33,173,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.6018,space,0.1841,0,34,34,71,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.6157,space,0.0347,0,35,35,181,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,6.1528,space,4.4176,0,36,36,321,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,6.6664,space,4.902,0,37,37,286,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,31.4905,space,29.8879,0,38,38,134,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
5,2.9501,space,1.3279,0,39,39,365,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,2.1338,space,0.4664,0,40,40,354,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.0173,space,0.1668,0,41,41,167,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.845,space,0.1985,0,42,42,226,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8523,space,0.0334,0,43,43,85,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,6.524,space,4.8521,0,44,44,256,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7667,space,0.0671,0,45,45,285,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8285,space,0.2482,0,46,46,348,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
4,2.9795,space,1.3319,0,47,47,276,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,7.7749,space,6.0855,0,48,48,178,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.5484,space,0.5517,0,49,49,330,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,5.4173,space,3.7509,0,50,50,111,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,53.8422,space,52.171,0,51,51,142,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,8.8737,space,7.1519,0,52,52,16,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,14.7411,space,13.4211,0,53,53,271,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.5351,space,0.3336,0,54,54,374,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7645,space,0.2025,0,55,55,26,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9615,space,0.3338,0,56,56,58,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,2.3121,space,1.917,0,57,57,210,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.1862,space,0.217,0,58,58,217,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
4,2.8992,space,1.2277,0,59,59,43,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,2.2335,space,0.5493,0,60,60,345,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.4216,space,2.6678,0,61,61,352,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7491,space,0.0983,0,62,62,188,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,12.3058,space,15.4066,0,63,63,281,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.4718,space,0.3336,0,64,64,248,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.849,space,1.1503,0,65,65,302,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,5.5058,space,3.9321,0,66,66,313,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,9.8711,space,8.2515,0,67,67,113,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9018,space,0.0522,0,68,68,165,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
7,5.4859,space,4.1554,0,69,69,290,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,14.9373,space,13.2516,0,70,70,335,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9332,space,0.214,0,71,71,250,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.832,space,0.332,0,72,72,274,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.9669,space,1.2776,0,73,73,361,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9509,space,0.2846,0,74,74,176,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
2,3.419,space,1.6499,0,75,75,202,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
2,1.3153,space,0.1666,0,76,76,300,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.5135,space,0.2988,0,77,77,101,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8806,space,0.1819,0,78,78,253,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8311,space,0.3539,0,79,79,299,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.096,space,0.2702,0,80,80,169,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.1632,space,36.1824,0,81,81,3,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.4441,space,0.1966,0,82,82,238,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.853,space,0.1022,0,83,83,61,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.7328,space,0.1519,0,84,84,259,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
7,2.9989,space,1.5454,0,85,85,288,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,2.2997,space,0.8504,0,86,86,51,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,4.9725,space,3.5202,0,87,87,170,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.1656,space,0.2952,0,88,88,310,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7807,space,0.2505,0,89,89,89,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.1813,space,0.4349,0,90,90,37,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,15.2092,space,13.6011,0,91,91,17,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7487,space,0.1006,0,92,92,31,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.1497,space,0.8038,0,93,93,41,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,58.5166,space,57.0544,0,94,94,318,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
5,2.1516,space,0.7231,0,95,95,317,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.8696,space,0.2507,0,96,96,65,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.9498,space,0.2632,0,97,97,15,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.9508,space,0.2874,0,98,98,40,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.3432,space,0.1671,0,99,99,208,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7625,space,0.2842,0,100,100,44,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
5,2.1999,space,0.5502,0,101,101,64,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,3.0884,space,1.4822,0,102,102,370,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.3976,space,0.2686,0,103,103,212,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.2814,space,0.2007,0,104,104,108,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.8057,space,0.2013,0,105,105,124,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
6,5.9157,space,4.4179,0,106,106,344,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
2,5.1001,space,3.435,0,107,107,280,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,1.9527,space,0.3639,0,108,108,35,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
1,0.7088,space,0.0515,0,109,109,121,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
7,30.2008,space,28.6559,0,110,110,75,1,,,603f6ea3c439b514c173633d,61b909696234a64834283cff,2021-12-14_22h14.39.046,PRaM,2021.2.3,Win32,145.0536699,61b8f3437b89212fae0dfade
