Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
,,space,30.5718,0,0,0,87,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,14.8785,0,1,1,98,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.4029,0,2,2,264,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.0744,0,3,3,318,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,3.9954,0,4,4,94,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.4704,0,5,5,360,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.0212,0,6,6,258,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,5.8272,0,7,7,199,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.5737,0,8,8,194,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,3.7904,0,9,9,52,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.6234,0,10,10,22,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.094,0,11,11,263,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,47.8685,0,12,12,58,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,4.0909,0,13,13,129,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,3.4746,0,14,14,304,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.5058,0,15,15,38,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.7667,0,16,16,374,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,4.439,0,17,17,368,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.2701,0,18,18,85,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,5.5611,0,19,19,45,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.1894,0,20,20,255,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.8849,0,21,21,204,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.2821,0,22,22,278,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.772,0,23,23,118,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.3675,0,24,24,126,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.8795,0,25,25,172,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.5208,0,26,26,96,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,2.8979,0,27,27,150,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.0418,0,28,28,158,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,3.0046,0,29,29,222,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,3.4777,0,30,30,12,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.9723,0,31,31,349,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.5435,0,32,32,88,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,0.7583,0,33,33,358,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.7201,0,34,34,39,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.0613,0,35,35,66,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
,,space,1.0867,0,36,36,80,1,,,6073ef4aa2110f1236736c6d,61b900282be9a738f0b1c47e,2021-12-14_22h36.34.277,PRaM,2021.2.3,Win32,59.99520038,61b8f3437b89212fae0dfade
