Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
,,space,5.3736,0,0,0,352,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
5,12.7352,space,11.1949,0,1,1,75,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
1,2.2646,space,1.1283,0,2,2,359,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
2,1.9897,space,0.9282,0,3,3,91,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
1,1.8482,space,0.3107,0,4,4,106,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
6,2.0977,space,0.8681,0,5,5,150,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
2,1.9448,space,0.1061,0,6,6,215,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
7,2.2262,space,0.395,0,7,7,126,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
2,2.1286,space,0.5345,0,8,8,184,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
4,2.2155,space,1.2381,0,9,9,256,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
8,2.1075,space,0.4512,0,10,10,274,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
8,1.4735,space,0.9353,0,11,11,140,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
8,1.8136,space,0.3706,0,12,12,19,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
5,2.2759,space,0.4725,0,13,13,345,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
5,2.412,space,0.8914,0,14,14,328,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
6,3.3755,space,1.7526,0,15,15,86,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
2,3.1421,space,1.6015,0,16,16,250,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
7,2.0579,space,0.5108,0,17,17,110,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
7,1.9618,space,0.4632,0,18,18,216,1,,,6087b352bc927336035cb9e0,6437730e73c9257ef9b8d09c,2023-04-13_15h16.06.813,PRaM,2021.2.3,Win32,59.91611744,61b8f3437b89212fae0dfadf
