Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
5,5.8335,space,4.7355,0,0,0,191,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,5.7031,space,4.3816,0,1,1,116,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
5,3.5701,space,2.0464,0,2,2,43,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,3.1808,space,2.2635,0,3,3,55,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,3.551,space,2.2453,0,4,4,233,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,4.9888,space,3.7505,0,5,5,246,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,3.1591,space,1.9284,0,6,6,73,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,9.9308,space,8.4573,0,7,7,223,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,6.449,space,4.7377,0,8,8,24,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,4.0167,space,2.503,0,9,9,238,1,,,60aad516e34718d318bfb44d,6437731470abd84e08e8bde2,2023-04-13_05h14.30.182,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
