Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
3,10.7943,space,9.3988,0,0,0,209,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
4,3.9237,space,2.5568,0,1,1,158,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,3.3613,space,5.0199,0,2,2,306,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,2.1196,space,0.6676,0,3,3,132,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
7,3.2494,space,2.2697,0,4,4,159,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,2.6895,space,1.2577,0,5,5,7,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,2.6281,space,1.6862,0,6,6,284,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.0506,space,1.7686,0,7,7,198,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,4.3109,space,2.7399,0,8,8,89,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,3.8364,space,3.3711,0,9,9,208,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.1839,space,1.536,0,10,10,24,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,2.5599,space,0.9745,0,11,11,112,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.595,space,1.9559,0,12,12,162,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,3.5919,space,2.1984,0,13,13,374,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,3.2669,space,1.5399,0,14,14,250,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,3.1636,space,1.4898,0,15,15,120,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,2.1098,space,3.2039,0,16,16,144,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,34.3321,space,33.2504,0,17,17,101,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,4.6957,space,3.1198,0,18,18,252,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,1.6429,space,2.6246,0,19,19,283,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,3.2381,space,2.0981,0,20,20,330,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,2.9773,space,1.5192,0,21,21,108,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,3.1442,space,1.8189,0,22,22,223,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,3.4613,space,1.9758,0,23,23,41,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.7812,space,2.3029,0,24,24,341,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,2.9326,space,1.3349,0,25,25,68,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,2.5491,space,1.0733,0,26,26,359,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,2.6602,space,1.113,0,27,27,91,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,2.5789,space,2.4531,0,28,28,115,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
4,2.7796,space,5.2266,0,29,29,0,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,3.9619,space,3.1609,0,30,30,172,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.2168,space,1.6692,0,31,31,111,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,4.5181,space,2.9094,0,32,32,322,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
8,3.5837,space,2.0526,0,33,33,61,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,2.6934,space,1.28,0,34,34,165,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,2.0931,space,0.5851,0,35,35,274,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.1828,space,1.5386,0,36,36,163,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,3.7005,space,2.0248,0,37,37,229,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
4,2.9964,space,1.652,0,38,38,261,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
4,2.7434,space,1.1405,0,39,39,182,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,1.6257,space,0.1004,0,40,40,340,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,1.993,space,0.3842,0,41,41,2,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,1.9468,space,0.3324,0,42,42,375,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,2.6353,space,1.0256,0,43,43,212,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
3,2.0258,space,0.6215,0,44,44,263,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
5,5.6495,space,3.9604,0,45,45,280,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
2,2.4436,space,0.9133,0,46,46,260,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,1.8924,space,0.3388,0,47,47,1,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
1,2.1641,space,0.5548,0,48,48,214,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
6,2.2769,space,0.601,0,49,49,59,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
4,2.2271,space,0.6686,0,50,50,273,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
8,2.8398,space,1.3186,0,51,51,323,1,,,6101930ddd5330f83b898c61,61ba1b96655939d59a3aee8a,2021-12-15_10h45.41.987,PRaM,2021.2.3,Win32,59.60896519,61b8f3437b89212fae0dfadf
