Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,8.272,space,8.6671,0,0,0,94,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
1,2.5329,space,0.9521,0,1,1,283,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
6,6.8967,space,5.2718,0,2,2,296,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
3,2.554,space,1.1867,0,3,3,376,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
2,2.041,space,1.3186,0,4,4,39,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
7,1.9987,space,0.5369,0,5,5,326,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
5,3.1202,space,1.5748,0,6,6,201,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
2,2.0786,space,0.568,0,7,7,322,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
3,2.4866,space,1.0018,0,8,8,341,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
2,5.3134,space,3.683,0,9,9,300,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
1,4.7114,space,3.1737,0,10,10,65,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
1,1.9549,space,0.4678,0,11,11,268,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
5,3.1305,space,1.5239,0,12,12,135,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
1,3.5259,space,1.8725,0,13,13,91,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
4,5.8396,space,6.0178,0,14,14,124,1,,,61115c54d46f4606854c8843,61b9000faed682a91429f075,2021-12-14_15h35.54.760,PRaM,2021.2.3,Win32,59.61962678,61b8f3437b89212fae0dfadf
