Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
3,12.539,space,11.994,0,0,0,30,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,8.812,space,7.732,0,1,1,101,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,4.16,space,2.769,0,2,2,9,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
6,2.844,space,2.203,0,3,3,26,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,13.975,space,12.844,0,4,4,5,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.592,space,2.014,0,5,5,259,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,2.684,space,1.613,0,6,6,82,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,2.898,space,1.915,0,7,7,321,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
4,3.079,space,2.093,0,8,8,368,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.902,space,4.32,0,9,9,334,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.774,space,1.538,0,10,10,332,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,3.107,space,1.966,0,11,11,176,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,4.803,space,3.791,0,12,12,79,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
5,2.475,space,1.321,0,13,13,258,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,3.494,space,2.485,0,14,14,331,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.189,space,0.843,0,15,15,100,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
5,3.048,space,1.992,0,16,16,244,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,2.917,space,1.944,0,17,17,268,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,3.328,space,2.94,0,18,18,342,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
5,2.195,space,1.382,0,19,19,305,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,4.305,space,9.853,0,20,20,14,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,5.011,space,4.439,0,21,21,88,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,12.794,space,15.943,0,22,22,313,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,5.358,space,4.776,0,23,23,109,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.889,space,1.664,0,24,24,239,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
4,2.672,space,1.438,0,25,25,373,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,6.211,space,7.589,0,26,26,360,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,3.499,space,2.1,0,27,27,194,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,2.782,space,2.537,0,28,28,301,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,7.083,space,12.582,0,29,29,283,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.206,space,1.19,0,30,30,265,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,3.789,space,3.011,0,31,31,311,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.542,space,1.767,0,32,32,119,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,2.763,space,1.75,0,33,33,372,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,3.209,space,3.027,0,34,34,345,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.695,space,1.422,0,35,35,377,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.572,space,1.297,0,36,36,71,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.699,space,1.388,0,37,37,275,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.312,space,0.984,0,38,38,231,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
4,3.074,space,2.069,0,39,39,294,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,4.998,space,3.968,0,40,40,118,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
4,4.825,space,3.777,0,41,41,28,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
3,5.811,space,4.79,0,42,42,322,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
5,3.088,space,2.073,0,43,43,257,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,4.591,space,3.466,0,44,44,48,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,3.553,space,3.246,0,45,45,297,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
1,3.083,space,2.004,0,46,46,49,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,7.299,space,6.718,0,47,47,288,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,4.043,space,3.636,0,48,48,87,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.576,space,1.159,0,49,49,13,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.259,space,1.048,0,50,50,133,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.12,space,0.889,0,51,51,43,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,2.164,space,0.966,0,52,52,137,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,4.303,space,3.349,0,53,53,77,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,2.285,space,0.897,0,54,54,135,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.03,space,0.912,0,55,55,141,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.8,space,1.702,0,56,56,164,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
2,4.348,space,3.179,0,57,57,293,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,2.819,space,1.703,0,58,58,279,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.355,space,1.539,0,59,59,347,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,2.198,space,0.988,0,60,60,33,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,1.798,space,0.178,0,61,61,134,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
7,2.322,space,0.617,0,62,62,51,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
9,6.288,space,4.726,0,63,63,228,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
8,3.503,space,2.262,0,64,64,56,1,,,613a43648c97902f85b31182,643773021e59ac618c7f5166,04-12-2023_23h19.03.519,PRaM,2021.2.3,MacIntel,59.95203837,61b8f3437b89212fae0dfadf
