Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
3,10.9544,space,9.3069,0,0,0,18,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
7,3.8263,space,4.2674,0,1,1,363,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
5,7.4614,space,6.5595,0,2,2,296,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
3,3.2535,space,2.6491,0,3,3,82,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
4,3.4375,space,3.7402,0,4,4,268,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
8,3.0134,space,3.6173,0,5,5,281,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
1,4.5751,space,4.459,0,6,6,318,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
7,2.4536,space,3.7755,0,7,7,365,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
3,5.5523,space,4.3992,0,8,8,40,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
8,3.344,space,3.6541,0,9,9,16,1,,,616cbfb55486b52d735885fa,61b9125b41cbf5b6a46f80b3,2021-12-14_21h54.03.330,PRaM,2021.2.3,Win32,60.07449237,61b8f3437b89212fae0dfadf
