Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,7.4712,space,8.7055,0,0,0,10,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
3,3.2023,space,1.7494,0,1,1,220,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,3.7236,space,2.1229,0,2,2,263,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
3,3.0138,space,1.2188,0,3,3,44,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.9385,space,1.3835,0,4,4,327,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.6913,space,0.9238,0,5,5,288,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,3.5718,space,1.9179,0,6,6,217,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.1276,space,0.4033,0,7,7,362,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.4935,space,0.7013,0,8,8,223,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.1058,space,0.4012,0,9,9,208,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
2,3.1851,space,1.4863,0,10,10,50,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
9,3.0371,space,1.3899,0,11,11,66,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.9814,space,1.2118,0,12,12,272,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
3,2.8627,space,1.1089,0,13,13,243,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
2,3.453,space,1.7831,0,14,14,79,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
2,3.09,space,1.4668,0,15,15,1,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.2603,space,0.4187,0,16,16,257,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.5554,space,0.8839,0,17,17,255,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.2297,space,0.4178,0,18,18,233,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.4609,space,0.6785,0,19,19,363,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
9,2.2571,space,0.4947,0,20,20,301,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.3544,space,0.6073,0,21,21,356,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.3881,space,0.6343,0,22,22,143,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,1.9101,space,0.1348,0,23,23,168,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,1.8543,space,0.0882,0,24,24,160,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.8055,space,1.1032,0,25,25,82,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.1317,space,0.3043,0,26,26,19,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,1.5143,space,1.4878,0,27,27,4,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
3,2.4734,space,0.7507,0,28,28,250,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.822,space,1.0846,0,29,29,76,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.7598,space,1.0014,0,30,30,83,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.9425,space,1.1895,0,31,31,116,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
4,3.078,space,1.4342,0,32,32,269,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,4.2105,space,2.4402,0,33,33,68,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,3.0381,space,1.3772,0,34,34,111,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,1.6636,space,2.513,0,35,35,221,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,3.1859,space,1.4179,0,36,36,316,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.6363,space,1.0748,0,37,37,242,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.1237,space,0.3226,0,38,38,209,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,2.8604,space,1.1009,0,39,39,348,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,1.8979,space,0.1843,0,40,40,358,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,10.7562,space,8.9488,0,41,41,97,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,1.7797,space,1.3152,0,42,42,29,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.6152,space,1.0209,0,43,43,16,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,3.5879,space,1.8551,0,44,44,216,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,6.9865,space,5.2346,0,45,45,201,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.6039,space,0.7883,0,46,46,46,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,3.1922,space,1.5848,0,47,47,63,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,1.8223,space,0.0746,0,48,48,345,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.6989,space,0.8706,0,49,49,152,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,2.5564,space,0.824,0,50,50,314,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,1.8945,space,0.0678,0,51,51,164,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
7,2.5386,space,0.8271,0,52,52,185,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
1,2.6163,space,1.2344,0,53,53,329,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
2,2.792,space,1.0264,0,54,54,144,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
3,4.1355,space,2.3702,0,55,55,9,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,3.9542,space,2.2533,0,56,56,200,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
6,3.6854,space,1.8058,0,57,57,199,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
9,4.6388,space,2.8877,0,58,58,137,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
8,2.0397,space,0.2678,0,59,59,280,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
2,3.3236,space,1.6558,0,60,60,232,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
5,4.3403,space,2.6237,0,61,61,286,1,,,62ebd3cd785939570957fe59,64377376b14e81d3250a416a,2023-04-13_04h14.46.460,PRaM,2021.2.3,Win32,60.09254252,61b8f3437b89212fae0dfade
