Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,10.328,space,9.6752,0,0,0,6,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
2,3.8955,space,2.2558,0,1,1,121,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
1,3.2497,space,1.6901,0,2,2,35,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
1,2.6354,space,1.0007,0,3,3,266,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
4,3.1773,space,1.5918,0,4,4,30,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
8,3.227,space,1.5929,0,5,5,276,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
5,3.8392,space,2.1776,0,6,6,332,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
3,3.0644,space,1.253,0,7,7,95,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
6,2.892,space,1.2644,0,8,8,51,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
8,3.5605,space,2.0009,0,9,9,279,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
4,4.0374,space,2.3934,0,10,10,253,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
5,5.5824,space,3.935,0,11,11,341,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
3,3.3332,space,1.6673,0,12,12,133,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
4,4.6613,space,3.0253,0,13,13,184,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
1,2.7434,space,1.1506,0,14,14,330,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
2,3.8934,space,2.8744,0,15,15,315,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
6,6.6886,space,5.0993,0,16,16,288,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
7,3.3491,space,1.7795,0,17,17,61,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
3,3.5922,space,1.9265,0,18,18,268,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
2,3.2915,space,2.1675,0,19,19,65,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
2,3.0239,space,1.2352,0,20,20,195,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
4,3.4164,space,1.7961,0,21,21,69,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
3,4.8423,space,3.1104,0,22,22,161,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
7,3.9806,space,2.3476,0,23,23,105,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
3,3.648,space,1.9954,0,24,24,342,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
5,4.5114,space,2.8433,0,25,25,297,1,,,63b80a8b220f924d975670bc,64391f817045fb37d001ec58,2023-04-14_10h43.54.796,PRaM,2021.2.3,Win32,61.85056903,61b8f3437b89212fae0dfadf
