Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
8,15.1849,space,17.9926,0,0,0,85,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,13.849,space,12.3441,0,1,1,41,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,4.0183,space,2.5855,0,2,2,358,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,2.5444,space,1.2993,0,3,3,300,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,2.3202,space,0.7347,0,4,4,77,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,2.6858,space,1.3156,0,5,5,286,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
3,4.7245,space,3.07,0,6,6,152,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
2,4.5212,space,2.8447,0,7,7,20,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
2,2.2403,space,0.6092,0,8,8,158,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
5,5.0817,space,3.4064,0,9,9,64,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
7,4.1029,space,2.4121,0,10,10,43,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
5,4.6955,space,2.7385,0,11,11,311,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
5,6.0565,space,4.3546,0,12,12,259,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
4,5.5242,space,3.5089,0,13,13,251,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
7,4.3826,space,2.4665,0,14,14,366,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
,,space,2.4638,0,15,15,91,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
1,2.3559,space,0.7416,0,16,16,329,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
3,4.0247,space,2.3583,0,17,17,169,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
3,3.8458,space,2.1651,0,18,18,314,1,,,63ea669ce46739b08786f07b,643773844fdd37dcd032b712,04-13-2023_04h19.27.521,PRaM,2021.2.3,Win32,29.98860433,61b8f3437b89212fae0dfade
