arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
35921,6994.5,10231,1557,1088,3304,11712,3704.5,12611,6747.5,22065,23786,25441.5,30747.5
12736,26524.5,4545,27537,22328.5,20712,28240.5,26989.5,34114,14813.5,36147.5,25625,27754.5,18447
14969,19953.5,10064,1824.5,21748,34639,20921.5,6335,25865.5,12342,7580.5,18552.5,36634,8122.5
23681,12659.5,2932,21241,35481.5,34932.5,10983.5,19779.5,36838,3898.5,20609.5,25111.5,34970.5,34026
32903,5959,12372,2500,4333,5946,3355,5503.5,519.5,3883.5,12030.5,21986.5,20005,22014.5
7618,5537.5,868,35407,31821.5,30285,23850.5,36032.5,25752,4785.5,36367,36240,22710,17551.5
6536,1638,2001,32201,10610.5,9122,18164.5,33008,15231,6478.5,34990,29141.5,23203,20267
11312.5,2592,2077,30357.5,22161,26314.5,36846,29415.5,30626.5,7421.5,27801.5,34428,31349,14031.5
429,2981.5,3953,36525,26941.5,35575,32541,36567,25488,6842,16678.5,34482.5,32203.5,311
19077,14961,32047.5,18884,6499.5,1937,16237,14895,25877,32690,24855.5,15591,12910.5,31526.5
28929.5,1528.5,329,14831.5,18958.5,14123,31137.5,15990,21464,1113,31814.5,32634.5,30506,29741
15163.5,8835.5,3864,32492,35724,35075.5,33964,34320.5,36346,7751,24264,35900,34683,7622
9441,17976,8518.5,22291.5,16200,12631,25340.5,24845,27329,17560.5,31029.5,25310.5,19937,8052.5
29837,16554.5,8151.5,17009.5,26765,30349,2682.5,20785,13389,6507,30005,29549.5,11442,35594.5
30736,32060.5,13003,33347,36195.5,35888.5,20537.5,33753,36051,33464.5,30139.5,31579.5,22269,8552
5425.5,32119,17311,17675.5,32731,30447,15938,17286,33167,27965,36757,19786,33888.5,36513
26053,33300.5,16856,25980.5,23179.5,34074.5,20965.5,30561,20576,25755.5,32345.5,36024,10279.5,19269
34348,3233.5,15100,4239.5,2408.5,1333.5,7009.5,4067,20142.5,21138,31728,23413,5879,23170
10642,26389,14224,33903.5,32379.5,34459.5,17872,35251.5,19459,13262,28224,34445,19523.5,787.5
16676.5,7950,5018,29749.5,21073.5,27440,798.5,28402.5,36738,13418,35055,25488,5098,31791.5
3943.5,17174.5,7126.5,16049.5,14824.5,21368.5,12189.5,26150,21964.5,6971.5,34919.5,34727,2098,27449.5
16470,14878,4734,20828.5,17496.5,27682.5,10353,20118,23459,2050.5,29944,25220,16545.5,3905.5
12257,26297,12041.5,35290.5,32235.5,24684.5,18994,35039.5,7583.5,26033,26170,23219.5,7425,7199
33598.5,35653.5,22157.5,28406.5,29006,32962,24714,27552.5,2485,34975,18786,25421,32981.5,21088
4005.5,25711.5,10087,27127.5,36857,32764,10495,29341,36563,21784,20219.5,18433.5,22561.5,36283
25828,31803.5,10639.5,35265,30689,32275,7544,36072,32084.5,6682,36252.5,36755,2975,9984.5
1817,32793,16937,29360,36825,30691.5,16280.5,29784,29631.5,29744,36198.5,18011.5,13934,35821
15237.5,31772.5,16433,15815,30458.5,34515.5,6392.5,20931.5,35249.5,31281,16327,24829.5,35647,27502
3603,2142,1716,7454,13414.5,4937.5,15851,14475,32404.5,3742.5,29064,19826.5,20987,34088
35527.5,33025.5,25896.5,10560.5,10541,7804.5,4456.5,6914.5,26166,18821,33570.5,34573,4973.5,33117.5
28512,22771.5,7563,32913,19152.5,32587.5,36296.5,33287.5,5035,21722.5,35096.5,31396.5,18258,27955.5
14039.5,18883.5,4161,32788.5,32241,33605,20157.5,35162.5,29497.5,21067.5,32451.5,36513,4014,11862.5
13140,29239,7159.5,34103,33578,36253.5,31692.5,29512.5,32068.5,36646.5,36540,31592,1704.5,17483.5
26917,27396,15580,8450.5,24480.5,23978.5,15024.5,11562.5,26737.5,20288,31404.5,32353,6132.5,35512.5
12506,18576,4520.5,29197,35906.5,36529,25189,31015,32347.5,12163.5,26482.5,21296.5,32225,12650.5
