Duration (in seconds),Finished,UserLanguage,PROLIFIC_PID,Consent,EMOTION,Recall,Specific Event,4_Item_1,5_Item_1,6_Item_1,7_Item_1,8_Item_1,9_Item_1,10_Item_1,11_Item_1,12_Item_1,13_Item_1,14_Item_1,15_Item_1,16_Item_1,17_Item_1,18_Item_1,19_Item_1,20_Item_1,21_Item_1,22_Item_1,23_Item_1,24_Item_1,25_Item_1,26_Item_1,27_Item_1,28_Item_1,29_Item_1,30_Item_1,31_Item_1,32_Item_1,33_Item_1,34_Item_1,35_Item_1,36_Item_1,37_Item_1,38_Item_1,39_Item_1,40_Item_1,41_Item_1,42_Item_1,43_Item_1
Duration (in seconds),Finished,User Language,PROLIFIC_PID,If you give your consent to take part please click 'I agree' below.,EMOTION,Take a few minutes to remember a time when you felt [Field-EMOTION]. Then tell the story of what happened on that occasion.,"In the situation you just described, what Specific Event A directly caused you to feel [Field-EMOTION]?",To what extent does Specific Event A fit the following description? - I expected 'Specific Event A' to occur. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved a hedonically positive or pleasant experience for me. - [Field-1],"To what extent does Specific Event A fit the following description? - 'Specific Event A' was consistent with my goals, needs, or desires. - [Field-1]",To what extent does Specific Event A fit the following description? - 'Specific Event A' was fair for me. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' was caused by a person rather than some other external force (e.g. randomness). - [Field-1],"To what extent does Specific Event A fit the following description? - Someone caused 'Specific Event A' intentionally, not by accident. - [Field-1]",To what extent does Specific Event A fit the following description? - 'Specific Event A' was caused by myself rather than by someone/something else. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved people that I fell close to. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' in this situation was primarily within my control. - [Field-1],To what extent does Specific Event A fit the following description? - I thought I had the power to alter 'Specific Event A' in the future. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved people behaving in a way that would be considered proper or moral. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' affected my self-esteem or opinion of myself. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' occurred suddenly/out of the blue. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' was a familiar event/situation for me. - [Field-1],To what extent does Specific Event A fit the following description? - My emotion involved an event that would or might occur in the future. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved events from my distant past. - [Field-1],To what extent does Specific Event A fit the following description? - My emotion was based on an something that had already occurred. - [Field-1],To what extent does Specific Event A fit the following description? - I felt certain about the situation/outcome. - [Field-1],To what extent does Specific Event A fit the following description? - I thought 'Specific Event A' was likely to occur again. - [Field-1],To what extent does Specific Event A fit the following description? - I thought I could cope with/handle 'Specific Event A'. - [Field-1],"To what extent does Specific Event A fit the following description? - My emotion was related to the mental states (e.g. beliefs, attitudes) of other people. - [Field-1]",To what extent does Specific Event A fit the following description? - People other than me knew about 'Specific Event A'. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved events relating to the physical body. - [Field-1],To what extent does Specific Event A fit the following description? - I was interacting with people in 'Specific Event A'. - [Field-1],To what extent does Specific Event A fit the following description? - There was a lot at stake for me in 'Specific Event A'. 'Specific Event A' has high-relevance for my life. - [Field-1],To what extent does Specific Event A fit the following description? - I was free to act or behave however I wanted in 'Specific Event A'. - [Field-1],To what extent does Specific Event A fit the following description? - I was under a lot of pressure in 'Specific Event A'. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' was an isolated incident rather than with long-term consequences. - [Field-1],To what extent does Specific Event A fit the following description? - I was in physical danger in 'Specific Event A'. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' described an outcome directly involving myself rather than primarily involving other people. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' was something that I am likely to remember in the future. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved events consistent with my personality or self-concept. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' affected my relationships with other people. - [Field-1],"To what extent does Specific Event A fit the following description? - 'Specific Event A' was primarily a reflection of me (e.g. my personality, my abilities) rather than a reflection of the surrounding situation. - [Field-1]",To what extent does Specific Event A fit the following description? - 'Specific Event A' occupied my attention. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved a change in my psychological state. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved risks for me or others. - [Field-1],To what extent does Specific Event A fit the following description? - 'Specific Event A' involved a change in my knowledge or belief about something. - [Field-1],To what extent does Specific Event A fit the following description? - Please select the number 4 in this item. - [Field-1],To what extent does Specific Event A fit the following description? - Please select 'Not Applicable' in this item. - [Field-1]
"{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""userLanguage""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""QID2""}","{""ImportId"":""EMOTION""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""4_QID11_4""}","{""ImportId"":""5_QID11_4""}","{""ImportId"":""6_QID11_4""}","{""ImportId"":""7_QID11_4""}","{""ImportId"":""8_QID11_4""}","{""ImportId"":""9_QID11_4""}","{""ImportId"":""10_QID11_4""}","{""ImportId"":""11_QID11_4""}","{""ImportId"":""12_QID11_4""}","{""ImportId"":""13_QID11_4""}","{""ImportId"":""14_QID11_4""}","{""ImportId"":""15_QID11_4""}","{""ImportId"":""16_QID11_4""}","{""ImportId"":""17_QID11_4""}","{""ImportId"":""18_QID11_4""}","{""ImportId"":""19_QID11_4""}","{""ImportId"":""20_QID11_4""}","{""ImportId"":""21_QID11_4""}","{""ImportId"":""22_QID11_4""}","{""ImportId"":""23_QID11_4""}","{""ImportId"":""24_QID11_4""}","{""ImportId"":""25_QID11_4""}","{""ImportId"":""26_QID11_4""}","{""ImportId"":""27_QID11_4""}","{""ImportId"":""28_QID11_4""}","{""ImportId"":""29_QID11_4""}","{""ImportId"":""30_QID11_4""}","{""ImportId"":""31_QID11_4""}","{""ImportId"":""32_QID11_4""}","{""ImportId"":""33_QID11_4""}","{""ImportId"":""34_QID11_4""}","{""ImportId"":""35_QID11_4""}","{""ImportId"":""36_QID11_4""}","{""ImportId"":""37_QID11_4""}","{""ImportId"":""38_QID11_4""}","{""ImportId"":""39_QID11_4""}","{""ImportId"":""40_QID11_4""}","{""ImportId"":""41_QID11_4""}","{""ImportId"":""42_QID11_4""}","{""ImportId"":""43_QID11_4""}"
238,True,EN,60cf26ba5e46d1264226d39f,I agree,SADNESS,When my childhood dog had to be put down due to ill health. He got too unwell and wasn’t able to live the life he enjoyed and was unable To play,Death,2,2,1,1,1,1,1,7,2,3,2,2,8,1,1,2,3,3,1,7,3,9,1,2,1,1,6,8,1,3,9,1,1,1,3,8,2,4,4,-99
289,True,EN,6021de978bf10526c4140db0,I agree,LOVE,"Sitting in the maternity unit, waiting for my daughter to be born, The emotions and feelings of love were overwhelming",Birth of daughter,9,6,9,9,6,9,5,9,6,9,9,9,1,1,5,1,3,9,1,9,-99,9,9,9,9,9,9,1,1,6,9,7,6,3,9,9,5,9,4,-99
199,True,EN,6114f32b27721374dca04fac,I agree,GRIEF,"My father died when I was young and I remember how it felt as if a all the air had been pulled out of my lungs. ","Death of father. ",9,1,1,1,1,1,1,9,1,6,1,2,1,1,8,8,1,1,1,6,-99,8,9,1,7,5,3,1,1,1,7,1,7,1,7,8,1,3,4,-99
346,True,EN,5f485e24b5efe81f67b89f81,I agree,CURIOSITY,"I feel curiosity every time I think about overseas places, cultures I haven't experienced etc. One in particular would be as a teenager, finding out the name of the village my aunt and uncle lived in in England. The sense of not knowing what that was like, wanting to know what it was like, and an extreme wonder (and curiosity) about what it was like to visit somewhere else, somewhere different.",Thinking of countries/places I had never seen.,3,6,9,5,5,2,5,7,4,6,7,4,7,5,8,1,3,4,8,3,4,8,4,5,7,6,1,1,1,6,9,9,6,9,9,7,4,6,4,-99
509,True,EN,5de83e5748241d7af1b6c348,I agree,ANGER,"i was being subjected to a racial abuse. i was not happy and was very angry at the aggressor 
there was verbal abuse and threatening of being hit",the humiliation of being racial abused,1,1,-99,1,8,9,2,-99,8,7,7,3,8,3,6,-99,7,7,5,7,6,9,6,7,4,4,6,6,3,6,6,6,2,-99,8,8,6,7,4,-99
445,True,EN,5e493e238e057039aa3a9f12,I agree,ANNOYANCE,"Just finishing a university exam and feeling relived only to have 5 more assignments and many hours of lectures to complete with a short amount of time to finish these. ",An increased workload and deadlines,8,2,6,5,7,-99,1,5,2,1,5,6,4,7,-99,1,7,-99,7,6,-99,6,1,1,6,-99,9,1,1,7,1,4,6,1,9,6,1,1,4,-99
169,True,EN,5f72adea4576d21f8ac889a0,I agree,PRIDE,"I passed my exam at work and got a good grade, my grade was higher then everyone elses, I scored 98, the  second highest was 94",I beat everyone in the class,3,7,8,6,3,7,8,7,6,4,8,9,7,7,8,7,7,9,2,8,6,7,8,8,7,5,6,4,1,6,8,8,7,6,7,8,7,7,4,-99
536,True,EN,5e8b4f93afcb1601643d7c33,I agree,JOY,"The last time I felt Joy was when I was driving. I had no where to be, I had finished an exam I had and I just wanted to drive. I had music blasting out and I the sun was setting to a bright orange a little purple tint. I had a tear in my eye and I was just smiling. There was nothing there but joy and happiness that I was alive.","Having nothing to do ",2,7,7,-99,1,1,7,1,7,5,1,6,4,6,7,3,4,6,7,2,1,1,4,1,5,8,1,4,1,5,7,6,1,5,6,8,2,2,4,-99
