Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,10.472,space,11.082,0,0,0,41,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
6,5.015,space,5.953,0,1,1,221,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,7.351,space,6.397,0,2,2,199,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
5,6.55,space,8.582,0,3,3,118,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,8.037,space,6.98,0,4,4,46,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.004,space,2.111,0,5,5,68,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
9,2.845,space,1.475,0,6,6,197,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,4.699,space,3.378,0,7,7,92,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,5.149,space,3.974,0,8,8,313,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
4,7.566,space,6.456,0,9,9,4,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,4.972,space,3.762,0,10,10,162,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,4.278,space,2.828,0,11,11,98,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,6.611,space,5.618,0,12,12,40,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
5,4.838,space,3.607,0,13,13,37,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,5.123,space,5.327,0,14,14,77,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.08,space,1.529,0,15,15,227,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,5.009,space,3.836,0,16,16,294,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,9.907,space,9.031,0,17,17,33,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,6.902,space,5.338,0,18,18,176,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,2.728,space,1.302,0,19,19,165,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.505,space,2.743,0,20,20,72,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.892,space,2.786,0,21,21,206,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.685,space,2.397,0,22,22,210,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,5.616,space,4.374,0,23,23,167,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,5.798,space,4.692,0,24,24,169,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,2.685,space,1.516,0,25,25,187,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
5,4.828,space,5.738,0,26,26,66,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
9,2.47,space,1.013,0,27,27,291,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,4.369,space,9.773,0,28,28,236,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
3,4.925,space,4.731,0,29,29,175,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,2.582,space,1.462,0,30,30,103,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
5,4.511,space,3.202,0,31,31,363,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
4,5.029,space,4.616,0,32,32,274,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
7,5.143,space,4.027,0,33,33,254,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,3.114,space,1.847,0,34,34,250,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,4.997,space,3.629,0,35,35,52,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
2,6.887,space,5.432,0,36,36,22,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
1,2.515,space,1.348,0,37,37,55,1,,,5a9262251eda410001360b2c,6437731f00d735c94b9cf4ee,2023-04-12_22h16.31.965,PRaM,2021.2.3,Win32,20.00080003,61b8f3437b89212fae0dfadf
