Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,3.224,space,4.523,0,0,0,116,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
3,2.939,space,1.5325,0,1,1,266,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.8079,space,1.7807,0,2,2,212,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.5608,space,1.5014,0,3,3,195,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.1592,space,0.8371,0,4,4,89,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
6,2.0423,space,0.5215,0,5,5,361,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
8,1.8452,space,0.2527,0,6,6,285,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
2,2.4118,space,0.8355,0,7,7,176,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.0192,space,0.5031,0,8,8,108,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.0587,space,0.5792,0,9,9,293,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
7,2.0093,space,0.5069,0,10,10,186,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
2,2.1871,space,0.5461,0,11,11,153,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,2.68,space,1.1336,0,12,12,143,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,1.8893,space,0.2879,0,13,13,55,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
6,1.6859,space,0.0319,0,14,14,52,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
5,1.9731,space,0.4698,0,15,15,327,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
2,2.1418,space,0.4833,0,16,16,113,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
4,2.3851,space,0.7354,0,17,17,357,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
6,2.4185,space,0.8426,0,18,18,246,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
1,1.8739,space,0.2421,0,19,19,70,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
7,1.8528,space,0.2293,0,20,20,117,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
4,3.4604,space,1.8661,0,21,21,330,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
8,1.8192,space,0.2007,0,22,22,331,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
4,3.9263,space,2.3339,0,23,23,98,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
2,2.6466,space,0.8987,0,24,24,262,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
3,1.8567,space,0.4509,0,25,25,299,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
2,1.8469,space,0.2739,0,26,26,210,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
6,2.7089,space,1.0368,0,27,27,271,1,,,5b88002a7bb9e90001f0703f,6439162c336d88e0677eb167,2023-04-14_10h00.42.065,PRaM,2021.2.3,Win32,59.84440455,61b8f3437b89212fae0dfade
