Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
5,8.538,space,7.6166,0,0,0,357,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
3,5.5466,space,5.2215,0,1,1,13,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,2.3798,space,1.0566,0,2,2,204,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,3.4487,space,1.8958,0,3,3,49,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,6.5586,space,5.3894,0,4,4,331,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
5,4.3395,space,2.767,0,5,5,100,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
8,5.7466,space,4.9547,0,6,6,319,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
5,3.2672,space,1.8013,0,7,7,183,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
4,4.2858,space,2.8479,0,8,8,338,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
4,3.3804,space,1.886,0,9,9,309,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
2,6.7838,space,5.451,0,10,10,184,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,3.8978,space,2.2752,0,11,11,16,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,4.3852,space,3.3323,0,12,12,141,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,3.8318,space,2.8607,0,13,13,294,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,7.6721,space,6.152,0,14,14,354,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
5,4.9598,space,3.4387,0,15,15,194,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,5.3659,space,3.9442,0,16,16,242,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,4.6811,space,3.0888,0,17,17,199,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
3,4.3273,space,2.7188,0,18,18,332,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
3,5.798,space,4.223,0,19,19,353,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,4.6897,space,3.4387,0,20,20,96,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,2.454,space,0.8561,0,21,21,47,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
4,6.5839,space,5.0248,0,22,22,153,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,5.5116,space,4.2961,0,23,23,296,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,6.0306,space,4.4442,0,24,24,105,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,5.4158,space,4.028,0,25,25,142,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,5.3655,space,4.5827,0,26,26,213,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,3.1718,space,2.7637,0,27,27,210,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
9,4.7391,space,3.4882,0,28,28,320,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
4,3.5353,space,1.9161,0,29,29,181,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,3.6332,space,1.9797,0,30,30,343,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,5.1948,space,4.858,0,31,31,19,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,12.613,space,11.2669,0,32,32,221,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,4.0802,space,2.9778,0,33,33,68,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,6.6871,space,5.6024,0,34,34,290,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
1,3.8957,space,2.4703,0,35,35,214,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
7,5.1406,space,3.5998,0,36,36,14,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
6,3.7025,space,2.3214,0,37,37,285,1,,,5d53fd59f6d6da00011209c0,6437730b15358bdc37fc85a8,2023-04-13_12h44.18.369,PRaM,2021.2.3,Win32,57.94414185,61b8f3437b89212fae0dfade
