Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
3,5.8787,space,5.3798,0,0,0,213,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
1,3.4825,space,2.1023,0,1,1,162,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
6,2.6889,space,1.3166,0,2,2,45,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
5,3.295,space,3.903,0,3,3,186,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
1,2.9943,space,1.5167,0,4,4,41,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
7,2.9125,space,1.6002,0,5,5,277,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
7,8.2734,space,8.8404,0,6,6,270,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
4,5.7246,space,5.4489,0,7,7,169,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
6,5.3017,space,4.501,0,8,8,118,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
4,23.2672,space,23.6479,0,9,9,228,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
7,27.7398,space,27.2914,0,10,10,363,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
5,19.9316,space,19.1733,0,11,11,110,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
5,32.272,space,30.7215,0,12,12,48,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
8,2.9259,space,1.8395,0,13,13,154,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
3,39.7014,space,38.5886,0,14,14,253,1,,,5f483afd936e951d89408736,64377315aa362cdc4fe8bdc8,2023-04-12_23h16.04.839,PRaM,2021.2.3,Win32,60.14675809,61b8f3437b89212fae0dfadf
