Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
7,5.0527,space,6.632,0,0,0,84,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,6.1168,space,4.4641,0,1,1,205,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
8,5.4417,space,3.8147,0,2,2,301,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,2.6779,space,1.1752,0,3,3,122,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,2.5493,space,0.8425,0,4,4,185,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
5,5.6538,space,5.054,0,5,5,254,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
5,3.7502,space,2.9359,0,6,6,369,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,4.4933,space,2.7855,0,7,7,245,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,3.789,space,2.4994,0,8,8,187,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,4.201,space,2.5087,0,9,9,176,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,3.2109,space,1.558,0,10,10,360,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
8,6.5381,space,5.2871,0,11,11,90,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
6,4.1657,space,2.4988,0,12,12,221,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
9,2.6148,space,1.1066,0,13,13,225,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,4.0866,space,2.4361,0,14,14,220,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,4.4015,space,2.7602,0,15,15,231,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.1084,space,0.2788,0,16,16,314,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
5,2.5471,space,0.9099,0,17,17,194,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,1.8463,space,0.1604,0,18,18,24,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,2.5207,space,0.7774,0,19,19,2,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,3.0257,space,1.3949,0,20,20,141,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
4,4.8169,space,3.0545,0,21,21,118,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
8,1.9753,space,0.267,0,22,22,372,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,5.9803,space,4.2059,0,23,23,120,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
2,2.5697,space,0.812,0,24,24,316,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.109,space,0.2668,0,25,25,13,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
5,3.0054,space,1.224,0,26,26,12,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
4,2.4369,space,2.0854,0,27,27,238,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.4965,space,0.7998,0,28,28,327,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
6,1.9152,space,0.2186,0,29,29,85,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
4,2.3142,space,0.6545,0,30,30,243,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.3143,space,0.6186,0,31,31,241,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
5,2.072,space,0.291,0,32,32,150,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
7,2.4055,space,0.7274,0,33,33,274,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
8,2.1455,space,0.4611,0,34,34,115,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.3028,space,0.4849,0,35,35,5,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
1,2.0125,space,0.3152,0,36,36,70,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
3,2.393,space,0.5698,0,37,37,82,1,,,6074b929f753216d88c77e88,6437854ebe36cf8b67577e99,2023-04-12_21h43.18.166,PRaM,2021.2.3,Win32,164.9348507,61b8f3437b89212fae0dfade
