Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,9.5816,space,8.3984,0,0,0,26,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.5539,space,0.9163,0,1,1,324,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.3309,space,0.5513,0,2,2,99,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
,,space,0.6006,0,3,3,130,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,5.306,space,3.682,0,4,4,7,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.6222,space,0.8665,0,5,5,156,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.0396,space,0.302,0,6,6,129,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.465,space,0.8165,0,7,7,31,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
8,2.5615,space,0.7398,0,8,8,334,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.1091,space,0.2992,0,9,9,64,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.9244,space,1.2567,0,10,10,123,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,2.761,space,1.0681,0,11,11,298,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.4357,space,0.707,0,12,12,21,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.8461,space,0.1268,0,13,13,11,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.6842,space,0.901,0,14,14,263,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.3271,space,0.7638,0,15,15,224,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.9951,space,0.2104,0,16,16,300,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,3.1208,space,1.4174,0,17,17,348,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
5,3.4171,space,1.6531,0,18,18,166,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
8,2.6318,space,1.6892,0,19,19,42,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
8,1.7306,space,0.0012,0,20,20,323,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.4064,space,0.7188,0,21,21,243,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.9311,space,1.1833,0,22,22,241,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.0051,space,0.2714,0,23,23,36,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.7719,space,1.0554,0,24,24,100,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.1741,space,0.3541,0,25,25,212,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.8888,space,0.1146,0,26,26,343,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,2.2224,space,0.3999,0,27,27,346,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.3756,space,0.7201,0,28,28,155,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.4571,space,0.4872,0,29,29,2,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.4227,space,0.401,0,30,30,265,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
8,2.2924,space,0.5179,0,31,31,301,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.2733,space,0.5111,0,32,32,143,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,2.422,space,0.7536,0,33,33,152,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
5,3.1055,space,1.316,0,34,34,4,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.3903,space,0.7169,0,35,35,340,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.9779,space,0.2177,0,36,36,63,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.7572,space,1.0709,0,37,37,153,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.4804,space,0.7218,0,38,38,87,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.6769,space,0.6024,0,39,39,122,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.4408,space,0.2343,0,40,40,161,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.6835,space,0.238,0,41,41,200,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.1091,space,0.2848,0,42,42,376,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.6252,space,0.8007,0,43,43,377,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,3.5905,space,1.7671,0,44,44,66,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,1.9886,space,0.1366,0,45,45,45,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.5053,space,0.7678,0,46,46,210,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.107,space,0.3552,0,47,47,38,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.9278,space,0.5847,0,48,48,1,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,3.292,space,1.5914,0,49,49,365,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
5,2.6074,space,0.8693,0,50,50,307,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.8267,space,1.1005,0,51,51,230,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.122,space,0.3836,0,52,52,113,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,3.2235,space,1.4164,0,53,53,148,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.86,space,0.0392,0,54,54,49,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
8,2.8708,space,1.8345,0,55,55,134,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
6,2.2329,space,0.4355,0,56,56,159,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,1.7733,space,0.9043,0,57,57,164,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.3255,space,0.5542,0,58,58,372,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,1.6441,space,0.4261,0,59,59,280,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,4.8609,space,3.1327,0,60,60,357,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,2.5882,space,0.7873,0,61,61,48,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,2.6981,space,1.2756,0,62,62,305,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.7947,space,1.0001,0,63,63,347,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
5,2.9527,space,1.2669,0,64,64,256,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.1595,space,0.4223,0,65,65,213,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.9643,space,0.1732,0,66,66,235,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
7,2.936,space,1.2622,0,67,67,117,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
2,2.3089,space,0.5103,0,68,68,116,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,2.372,space,0.6009,0,69,69,9,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
3,1.9873,space,0.3358,0,70,70,88,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,2.2992,space,0.6684,0,71,71,110,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
1,1.847,space,0.0514,0,72,72,27,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
4,3.8101,space,2.0661,0,73,73,345,1,,,6108295fdd0270d7544b5a8a,6437761d3576902c440d3464,2023-04-12_21h28.17.436,PRaM,2021.2.3,Win32,60.01680471,61b8f3437b89212fae0dfadf
