Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
1,15.8615,space,18.8048,0,0,0,195,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
6,11.4585,space,10.7174,0,1,1,86,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.8912,space,2.3799,0,2,2,329,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,3.3507,space,2.1092,0,3,3,43,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,2.4835,space,0.7538,0,4,4,56,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.9759,space,1.3418,0,5,5,204,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
3,7.3552,space,5.5143,0,6,6,110,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.9527,space,1.0462,0,7,7,82,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.8518,space,2.03,0,8,8,141,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.5652,space,2.7467,0,9,9,306,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.9463,space,1.3672,0,10,10,128,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.6198,space,2.3349,0,11,11,94,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.9421,space,0.3742,0,12,12,50,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
2,3.1753,space,1.4941,0,13,13,100,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.3074,space,1.6873,0,14,14,78,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.9421,space,1.4621,0,15,15,157,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
2,3.9896,space,2.3707,0,16,16,182,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
5,3.1334,space,2.0269,0,17,17,165,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
8,10.457,space,8.9617,0,18,18,196,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.8099,space,2.015,0,19,19,185,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
5,3.0918,space,1.1762,0,20,20,177,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,3.0846,space,1.3347,0,21,21,276,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,2.5065,space,0.7088,0,22,22,53,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.4387,space,1.712,0,23,23,70,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.0231,space,0.196,0,24,24,260,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
3,3.9896,space,2.1196,0,25,25,164,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
4,2.0246,space,0.3218,0,26,26,366,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.2472,space,0.4404,0,27,27,129,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,7.2472,space,5.5282,0,28,28,142,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
3,2.9978,space,1.2889,0,29,29,221,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.352,space,2.5848,0,30,30,170,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.903,space,0.3157,0,31,31,2,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.486,space,0.5902,0,32,32,230,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
5,5.1091,space,3.9487,0,33,33,357,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.6401,space,0.861,0,34,34,27,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.844,space,1.033,0,35,35,214,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
6,3.3857,space,1.9852,0,36,36,215,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.5548,space,2.8846,0,37,37,257,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.6016,space,0.7731,0,38,38,18,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.7601,space,1.0532,0,39,39,345,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
5,5.1663,space,3.8218,0,40,40,256,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,4.2463,space,2.7457,0,41,41,3,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
9,2.3434,space,0.7356,0,42,42,323,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.2022,space,0.4824,0,43,43,97,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
7,4.7029,space,2.9377,0,44,44,333,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.1658,space,0.5939,0,45,45,217,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.4986,space,2.8217,0,46,46,55,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.3696,space,2.633,0,47,47,167,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.1532,space,0.5907,0,48,48,266,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.9353,space,1.1941,0,49,49,287,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
9,4.1268,space,2.3832,0,50,50,339,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
3,3.5707,space,1.7635,0,51,51,238,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.5313,space,1.7706,0,52,52,189,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.4332,space,2.5945,0,53,53,106,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.1552,space,2.3424,0,54,54,190,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.0427,space,1.2533,0,55,55,283,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
9,3.3711,space,1.6553,0,56,56,64,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
9,2.5162,space,0.671,0,57,57,197,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.8428,space,2.2024,0,58,58,316,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.2854,space,1.644,0,59,59,309,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,4.1868,space,2.4908,0,60,60,240,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.9512,space,1.348,0,61,61,356,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,2.0898,space,0.3917,0,62,62,99,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.8641,space,0.1797,0,63,63,155,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,1.9165,space,0.4229,0,64,64,101,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
6,2.6989,space,1.0927,0,65,65,60,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.9201,space,2.1015,0,66,66,34,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
2,2.3129,space,0.4721,0,67,67,270,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,3.5871,space,1.8759,0,68,68,338,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
2,4.2484,space,2.7273,0,69,69,216,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
1,6.4788,space,4.817,0,70,70,116,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
6,10.404,space,8.7451,0,71,71,51,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
5,5.2476,space,3.4374,0,72,72,264,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
6,1.8436,space,0.0372,0,73,73,331,1,,,6110db4e6d45d7849cd5231e,61b9002bb5887c717b9f8e7c,2021-12-14_20h41.27.758,PRaM,2021.2.3,Win32,49.54419342,61b8f3437b89212fae0dfade
