Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
7,19.12,space,19.7382,0,0,0,75,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
7,17.5029,space,19.3279,0,1,1,328,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
6,10.9275,space,15.4876,0,2,2,363,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
3,10.6635,space,11.5383,0,3,3,169,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
2,11.8774,space,14.3991,0,4,4,214,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
6,6.5871,space,8.6467,0,5,5,68,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
3,20.7188,space,20.466,0,6,6,311,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
6,25.3106,space,24.4579,0,7,7,270,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
6,14.3336,space,13.0427,0,8,8,239,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
2,15.546,space,14.5244,0,9,9,36,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
8,6.8351,space,5.9481,0,10,10,192,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
2,12.497,space,11.3428,0,11,11,78,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
5,6.2118,space,5.8626,0,12,12,96,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
1,13.6699,space,12.8557,0,13,13,354,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
6,14.4051,space,14.5153,0,14,14,211,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
2,12.1002,space,11.7602,0,15,15,286,1,,,62da562ad9942a440f6986c9,643773099deb637e8358b231,2023-04-13_04h21.32.672,PRaM,2021.2.3,Win32,59.94844434,61b8f3437b89212fae0dfade
