Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id
2,4.1468,space,4.7517,0,0,0,217,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,6.676,space,5.2896,0,1,1,267,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,3.5609,space,2.119,0,2,2,21,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,4.479,space,3.12,0,3,3,311,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,5.0931,space,4.0282,0,4,4,146,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,2.4166,space,1.917,0,5,5,11,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
5,3.4163,space,1.9418,0,6,6,93,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,4.9151,space,3.1724,0,7,7,157,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,2.9704,space,1.5847,0,8,8,338,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,9.6178,space,8.1173,0,9,9,111,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,2.582,space,1.0734,0,10,10,295,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
2,6.2351,space,4.7724,0,11,11,184,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,4.4045,space,3.366,0,12,12,55,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,3.1104,space,1.5537,0,13,13,371,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,3.832,space,2.3074,0,14,14,7,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,2.6003,space,1.4886,0,15,15,354,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,7.1375,space,11.6206,0,16,16,246,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
8,3.5802,space,2.0949,0,17,17,118,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
6,3.0644,space,1.3295,0,18,18,279,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,3.1802,space,1.6635,0,19,19,250,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
2,2.4168,space,1.0605,0,20,20,263,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,2.2094,space,0.7547,0,21,21,314,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
2,2.6629,space,1.0742,0,22,22,367,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
5,5.0684,space,3.4389,0,23,23,280,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,5.8344,space,3.9847,0,24,24,81,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,3.2802,space,1.7547,0,25,25,51,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
4,8.0497,space,6.332,0,26,26,219,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
3,2.7912,space,1.244,0,27,27,19,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,2.3781,space,0.8593,0,28,28,2,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
1,4.0842,space,2.5927,0,29,29,50,1,,,6332274d72eff2df47171a78,6437736300d735c94b9cf4f2,2023-04-12_23h14.17.024,PRaM,2021.2.3,Win32,60.10699044,61b8f3437b89212fae0dfade
